Brand,HotelFeatures,HotelAttributes,KidsServices,Price,altID,obsID,qID,respID
Intercontinental,Large spacious rooms,All inclusive,Playground or Kids only play areas,AU 220,1,134,2,13
Marriott,Family activities located nearby,Complimentary breakfast,Kids eat free,AU 245,2,134,2,13
Intercontinental,Central or desirable location,Babysitting service,Playground or Kids only play areas,AU 295,1,135,3,13
Marriott,Connected room guaranteed,All inclusive,Kids eat free,AU 195,2,135,3,13
DoubleTree,Large spacious rooms,Babysitting service,Kids Club,AU 220,1,136,4,13
Novotel,Family activities located nearby,All inclusive,Playground or Kids only play areas,AU 245,2,136,4,13
Hilton,Pool,Complimentary breakfast,Kids Club,AU 270,1,137,5,13
DoubleTree,Central or desirable location,Variety of restaurants,Playground or Kids only play areas,AU 295,2,137,5,13
Hilton,Pool,Babysitting service,Kids eat free,AU 220,1,138,6,13
DoubleTree,Central or desirable location,All inclusive,Kids themed rooms,AU 245,2,138,6,13
Marriott,Central or desirable location,Complimentary breakfast,Kids themed rooms,AU 270,1,139,7,13
Hilton,Connected room guaranteed,Variety of restaurants,Kids activities planned by hotel staff,AU 295,2,139,7,13
Marriott,Connected room guaranteed,Babysitting service,Kids activities planned by hotel staff,AU 295,1,140,8,13
Hilton,Large spacious rooms,All inclusive,Kids Club,AU 195,2,140,8,13
Intercontinental,Central or desirable location,Babysitting service,Kids eat free,AU 295,1,141,9,13
Marriott,Connected room guaranteed,All inclusive,Kids themed rooms,AU 195,2,141,9,13
Intercontinental,Family activities located nearby,Access to sports facilities,Kids eat free,AU 295,1,142,10,13
Marriott,Pool,Babysitting service,Kids themed rooms,AU 195,2,142,10,13
Marriott,Pool,Complimentary breakfast,Kids themed rooms,AU 195,1,143,11,13
Hilton,Central or desirable location,Variety of restaurants,Kids activities planned by hotel staff,AU 220,2,143,11,13
Novotel,Pool,Variety of restaurants,Kids eat free,AU 270,1,144,1,14
Intercontinental,Central or desirable location,Access to sports facilities,Kids themed rooms,AU 295,2,144,1,14
Novotel,Large spacious rooms,Complimentary breakfast,Kids Club,AU 295,1,145,2,14
Intercontinental,Family activities located nearby,Variety of restaurants,Playground or Kids only play areas,AU 195,2,145,2,14
DoubleTree,Connected room guaranteed,Complimentary breakfast,Kids activities planned by hotel staff,AU 270,1,146,3,14
Novotel,Large spacious rooms,Variety of restaurants,Kids Club,AU 295,2,146,3,14
Marriott,Pool,Complimentary breakfast,Kids Club,AU 195,1,147,4,14
Hilton,Central or desirable location,Variety of restaurants,Playground or Kids only play areas,AU 220,2,147,4,14
DoubleTree,Large spacious rooms,All inclusive,Kids eat free,AU 195,1,148,5,14
Novotel,Family activities located nearby,Complimentary breakfast,Kids themed rooms,AU 220,2,148,5,14
Intercontinental,Family activities located nearby,All inclusive,Playground or Kids only play areas,AU 245,1,149,6,14
Marriott,Pool,Complimentary breakfast,Kids eat free,AU 270,2,149,6,14
Intercontinental,Connected room guaranteed,Complimentary breakfast,Kids themed rooms,AU 295,1,150,7,14
Marriott,Large spacious rooms,Variety of restaurants,Kids activities planned by hotel staff,AU 195,2,150,7,14
DoubleTree,Pool,Complimentary breakfast,Kids eat free,AU 245,1,151,8,14
